technology,dst_region,region,agent,sector,type,year,capacity
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2030,3.84460000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2030,6.90730000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2030,4.79030000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2030,0.58470000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2030,0.37090000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2035,0.97350000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2035,16.33780000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2035,56.92780000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2035,38.91900000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2035,55.85720000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2035,5.39760000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2035,3.10980000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2035,2.69120000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2035,4.83510000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2035,3.35320000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2035,0.40930000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2035,0.25960000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2040,0.68150000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2040,16.33780000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2040,10.69230000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,55.56820000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,38.91900000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,55.85720000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,52.05370000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2040,3.77830000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2040,2.17690000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2040,1.88390000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2040,3.38460000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2040,2.34730000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2040,0.28650000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2040,0.18170000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2045,0.47700000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2045,16.33780000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2045,10.69230000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2045,26.63280000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2045,91.78100000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2045,12.97790000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,54.61640000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,38.91900000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,55.85720000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,52.05370000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,52.62640000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2045,2.64480000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2045,65.79110000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2045,1.52380000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2045,1.31870000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2045,46.44920000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2045,18.33410000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2045,2.36920000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2045,1.64310000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2045,24.93140000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2045,65.79110000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2045,0.20060000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2045,6.44340000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2045,0.12720000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2045,4.92170000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2050,0.33390000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2050,16.33780000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2050,10.69230000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2050,26.63280000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2050,42.53310000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2050,91.78100000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2050,44.44440000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2050,12.97790000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2050,45.18130000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,1.55460000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,38.91900000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,55.85720000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,52.05370000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,52.62640000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,77.12580000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2050,1.85140000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2050,65.79110000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2050,47.92540000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2050,1.06670000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2050,0.92310000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2050,46.44920000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2050,44.63070000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2050,18.33410000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2050,3.25030000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2050,1.65840000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,1.15020000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,24.93140000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,26.04120000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2050,65.79110000000
Small Hydropower Plant (<10MW),Kenya,Kenya,A1,power,retrofit,2050,29.09280000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2050,0.14040000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2050,6.44340000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2050,44.94410000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2050,0.08900000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2050,4.92170000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2050,25.27310000000
