,year,generated,technology,Power Type
0,2020,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
1,2021,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
2,2022,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
3,2023,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
4,2024,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
5,2025,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
6,2026,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
7,2027,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
8,2028,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
9,2029,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
10,2030,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
11,2031,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
12,2032,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
13,2033,4.1044996,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
14,2034,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
15,2035,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
16,2036,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
17,2037,1.5931453,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
18,2038,1.5931453,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
19,2039,1.5931453,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
20,2040,0.0,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
21,2041,0.0,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
22,2042,0.0,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
23,2043,0.0,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
24,2044,0.0,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
25,2045,0.0,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
26,2046,0.0,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
27,2047,0.0,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
28,2048,0.0,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
29,2049,0.0,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
30,2050,0.0,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
31,2020,3.7393825,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
32,2021,3.7393825,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
33,2022,3.7393825,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
34,2023,3.7393825,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
35,2024,1.8035607,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
36,2025,1.8035607,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
37,2026,1.8035607,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
38,2027,1.8035607,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
39,2028,1.8035607,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
40,2029,1.8035607,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
41,2030,1.2023738,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
42,2031,1.2023738,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
43,2032,1.2023738,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
44,2033,1.1796561,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
45,2034,1.2023738,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
46,2035,1.2023738,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
47,2036,1.2023738,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
48,2037,1.2023738,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
49,2038,1.2023738,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
50,2039,1.2023738,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
51,2040,1.5028972,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
52,2041,1.9374673,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
53,2042,2.4023462,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
54,2043,2.4023462,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
55,2044,2.4023462,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
56,2045,2.4023462,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
57,2046,3.4851847,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
58,2047,4.0911579,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
59,2048,4.0911579,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
60,2049,4.6819595,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
61,2050,17.974359,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
62,2020,4.1702395,Oil Fired Gas Turbine (SCGT),Fossil fuel
63,2021,3.8525975,Oil Fired Gas Turbine (SCGT),Fossil fuel
64,2022,3.4712801,Oil Fired Gas Turbine (SCGT),Fossil fuel
65,2023,3.4452345,Oil Fired Gas Turbine (SCGT),Fossil fuel
66,2024,2.5915876,Oil Fired Gas Turbine (SCGT),Fossil fuel
67,2025,2.317284,Oil Fired Gas Turbine (SCGT),Fossil fuel
68,2026,2.2627357,Oil Fired Gas Turbine (SCGT),Fossil fuel
69,2027,2.0989043,Oil Fired Gas Turbine (SCGT),Fossil fuel
70,2028,1.1091802,Oil Fired Gas Turbine (SCGT),Fossil fuel
71,2029,1.0812584,Oil Fired Gas Turbine (SCGT),Fossil fuel
72,2030,0.90843978,Oil Fired Gas Turbine (SCGT),Fossil fuel
73,2031,0.81960977,Oil Fired Gas Turbine (SCGT),Fossil fuel
74,2032,0.8500236,Oil Fired Gas Turbine (SCGT),Fossil fuel
75,2033,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
76,2034,0.068288551,Oil Fired Gas Turbine (SCGT),Fossil fuel
77,2035,0.297945,Oil Fired Gas Turbine (SCGT),Fossil fuel
78,2036,0.27593281,Oil Fired Gas Turbine (SCGT),Fossil fuel
79,2037,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
80,2038,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
81,2039,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
82,2040,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
83,2041,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
84,2042,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
85,2043,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
86,2044,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
87,2045,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
88,2046,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
89,2047,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
90,2048,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
91,2049,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
92,2050,0.0,Oil Fired Gas Turbine (SCGT),Fossil fuel
