,year,generated,technology,Power Type
0,2020,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
1,2021,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
2,2022,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
3,2023,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
4,2024,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
5,2025,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
6,2026,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
7,2027,7.4998065,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
8,2028,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
9,2029,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
10,2030,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
11,2031,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
12,2032,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
13,2033,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
14,2034,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
15,2035,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
16,2036,4.1181302,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
17,2037,1.5931453,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
18,2038,1.5931453,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
19,2039,1.5931453,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
20,2040,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
21,2041,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
22,2042,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
23,2043,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
24,2044,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
25,2045,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
26,2046,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
27,2047,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
28,2048,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
29,2049,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
30,2050,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
31,2020,9.0216134,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
32,2021,9.0216134,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
33,2022,9.0216134,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
34,2023,9.0216134,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
35,2024,7.0857916,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
36,2025,7.0857916,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
37,2026,7.0857916,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
38,2027,7.0857916,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
39,2028,7.0857916,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
40,2029,7.0857916,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
41,2030,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
42,2031,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
43,2032,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
44,2033,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
45,2034,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
46,2035,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
47,2036,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
48,2037,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
49,2038,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
50,2039,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
51,2040,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
52,2041,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
53,2042,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
54,2043,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
55,2044,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
56,2045,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
57,2046,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
58,2047,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
59,2048,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
60,2049,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
61,2050,6.4846047,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
62,2020,0.73253195,PWRNGS001,PWRNGS001
63,2021,0.59255916,PWRNGS001,PWRNGS001
64,2022,0.52383123,PWRNGS001,PWRNGS001
65,2023,0.48835463,PWRNGS001,PWRNGS001
66,2024,,PWRNGS001,PWRNGS001
67,2025,0.12208866,PWRNGS001,PWRNGS001
68,2026,0.39284433,PWRNGS001,PWRNGS001
69,2027,2.0828074,PWRNGS001,PWRNGS001
70,2028,2.872973,PWRNGS001,PWRNGS001
71,2029,3.3823032,PWRNGS001,PWRNGS001
72,2030,3.9863246,PWRNGS001,PWRNGS001
73,2031,4.5873664,PWRNGS001,PWRNGS001
74,2032,5.234288,PWRNGS001,PWRNGS001
75,2033,5.9310519,PWRNGS001,PWRNGS001
76,2034,7.5316569,PWRNGS001,PWRNGS001
77,2035,8.603417,PWRNGS001,PWRNGS001
78,2036,10.006211,PWRNGS001,PWRNGS001
79,2037,12.076054,PWRNGS001,PWRNGS001
80,2038,13.359119,PWRNGS001,PWRNGS001
81,2039,14.497919,PWRNGS001,PWRNGS001
82,2040,15.478403,PWRNGS001,PWRNGS001
83,2041,16.368136,PWRNGS001,PWRNGS001
84,2042,17.192494,PWRNGS001,PWRNGS001
85,2043,18.144069,PWRNGS001,PWRNGS001
86,2044,19.151457,PWRNGS001,PWRNGS001
87,2045,22.159618,PWRNGS001,PWRNGS001
88,2046,23.564562,PWRNGS001,PWRNGS001
89,2047,25.051704,PWRNGS001,PWRNGS001
90,2048,26.625856,PWRNGS001,PWRNGS001
91,2049,28.292109,PWRNGS001,PWRNGS001
92,2050,32.398701,PWRNGS001,PWRNGS001
93,2020,0.20184671,Light Fuel Oil Power Plant,Fossil fuel
94,2021,,Light Fuel Oil Power Plant,Fossil fuel
95,2022,,Light Fuel Oil Power Plant,Fossil fuel
96,2023,,Light Fuel Oil Power Plant,Fossil fuel
97,2024,,Light Fuel Oil Power Plant,Fossil fuel
98,2025,,Light Fuel Oil Power Plant,Fossil fuel
99,2026,,Light Fuel Oil Power Plant,Fossil fuel
100,2027,,Light Fuel Oil Power Plant,Fossil fuel
101,2028,,Light Fuel Oil Power Plant,Fossil fuel
102,2029,,Light Fuel Oil Power Plant,Fossil fuel
103,2030,,Light Fuel Oil Power Plant,Fossil fuel
104,2031,,Light Fuel Oil Power Plant,Fossil fuel
